Index,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
ab,-0.6086961379019479,-0.05909348164541873,0.36989909635169654,-0.015572975373006599,-0.24539409305003765,-0.17128746033649242,0.05461864344769379,0.0,0.0,0.0
ar,-0.023312127901872978,-0.2395713068817602,-0.10831077432344341,0.6460394010184034,-0.13037201592699432,-1.335031985997539,1.675839154316745,0.0,0.0,0.0
ag,0.4857871030300039,-0.8806603419914529,-0.07566360025057257,-0.5665267381748064,0.8691389327382476,0.8245167452547473,-0.8179836428081046,0.0,0.0,0.0
bc,0.7391579020218989,-0.8983873373202823,-0.5632021204734249,-0.4222259803888682,1.0399706804139472,0.6990293120787114,-0.5274119174207262,0.0,0.0,0.0
bh,0.6015647660412166,0.4738428966005552,-1.1558529043805503,0.6377678622132547,1.2227316245300486,0.4441388220502649,-0.20844384829777987,0.0,0.0,0.0
bn,-0.7998908301343219,1.0930840139986722,-0.038362632464999345,0.9877015727819359,-1.4364323805275478,0.11268058450809089,-0.4100473854425446,0.0,0.0,0.0
bt,-0.19607296113080686,-0.31207556737166364,-0.34880913302787037,0.4470658732105215,-0.6282825920738582,-0.040893932067449255,0.07488500617816639,0.0,0.0,0.0
bv,0.6004308638934294,0.31044351606242165,-1.0369607955873015,-1.9209345358131227,1.2700819389649256,-2.1102114389185505,-1.9458591128565093,0.0,0.0,0.0
br,-0.7472571675524391,0.07103339547058421,0.9316791413854845,-0.6853395159572446,0.5544489947790708,2.9141306627366137,1.0369521981047636,0.0,0.0,0.0
bz,-0.15219656856982858,-1.3809899620370572,0.27787097714659237,1.1748701931400893,-0.5197193173883702,-0.050651831724516816,0.06919624085750045,0.0,0.0,0.0
cs,-0.8230099895191769,-0.551116973124888,0.8886635526651376,0.18741136497165886,-0.02910501732056048,-0.29854555071554834,0.7716667503135303,0.0,0.0,0.0
cl,-0.5914766694671679,-0.3742793740092866,0.08581234376889092,0.058811907964065,-0.0639436673280934,-0.6208948920592774,0.07628145941931656,0.0,0.0,0.0
cj,0.5365874703608917,0.5687641412219084,0.7124228821701978,-0.8625761275238965,-1.2097155967938107,-0.011387728452855414,-0.18708097190749878,0.0,0.0,0.0
ct,0.9347599778347969,0.48152407281002546,-0.9191744647118255,-1.1112631897444951,1.5627982477887332,-0.1880100509869302,0.5799658768224033,0.0,0.0,0.0
cv,-1.0963062451805967,0.9605939990397485,0.3127897009291209,0.4015417958815781,-0.16900085417007607,0.15466643114176926,-0.4661700148143063,0.0,0.0,0.0
db,0.07380567511031688,-0.7288845689546855,0.2662064498307963,0.39371787739406183,0.5846675920259553,0.2937140124660849,-0.29751325926933553,0.0,0.0,0.0
dj,0.6098562246062428,-1.2490307857706815,-0.8639379051154167,-1.5719154453034547,-2.685880829237728,0.3785529415352095,-0.33487435905534413,0.0,0.0,0.0
gl,0.32314594119357004,-0.40330082127044287,-0.28512529153920146,-0.7718962279833698,1.8740368837847994,-0.23641409745997705,0.5408254106261456,0.0,0.0,0.0
gr,-0.7961844674347115,-0.6324471773358679,0.8952183687014851,-0.19549482364748885,-0.40086876615708855,-0.4835758631442012,0.35489344717937293,0.0,0.0,0.0
gj,-0.6261765934740243,-0.09533651974202643,0.45060429309920697,-0.051899155572743556,1.3687821367358524,-0.4038637841377665,0.4475688846791268,0.0,0.0,0.0
hr,-0.7489618487280552,0.7860382900152745,-0.041974258119110854,0.32083916579900124,-0.5259369769910345,0.5654634629093657,-0.8780150832258699,0.0,0.0,0.0
hd,-0.07632403794294865,-1.2758694769858623,-0.06630621623071103,0.43380333467010984,1.1047509447923587,-0.38604175775783667,0.6559305746900425,0.0,0.0,0.0
il,-0.727209276138359,0.03427553308635352,0.4022655438483341,0.14824380911899537,0.6199472722896066,-0.08879412772529102,-0.012145069355325241,0.0,0.0,0.0
is,0.9840106615774733,2.0804288584372124,1.2009417509947906,-0.5512850516908806,0.6098443932159416,0.13142766371153974,-0.3839920828549892,0.0,0.0,0.0
if,-0.47184560299807343,1.6885315396829153,1.486734741991094,-1.1977196891859219,-0.03729193608355315,-1.3246878708901788,1.159770580593969,0.0,0.0,0.0
mm,-0.006270874234042399,0.3005072112887208,-0.36561405211899023,-0.40635728435028123,0.5062669150603926,0.20688842772514332,-0.17867757193772116,0.0,0.0,0.0
mh,-0.847777933542243,-0.20020240714537238,0.17665360262670818,1.0268985106225559,0.1653594073967223,-0.6952386701869673,0.7623923829920124,0.0,0.0,0.0
ms,0.4967409030144805,0.7301690824103804,-1.9275526148176,-0.07206168174332007,-0.839616772580064,0.9532414085207611,-0.8756323972722923,0.0,0.0,0.0
nt,0.16081661367681252,-1.044840756207006,-0.2102929790698512,0.11109987577586009,0.7436747671452342,0.8298008699804627,-0.8295345736386461,0.0,0.0,0.0
ot,-0.1191206759546189,-1.1192278705340883,-1.346342280050532,-0.5707313056752178,-2.1679645451723113,-0.3686533368077745,0.6199433196403922,0.0,0.0,0.0
ph,1.2886046262775315,-2.6419362145028575,-1.005281305326715,-0.33125572613367077,0.08269848776549836,-0.1377953832482335,0.7225584941413232,0.0,0.0,0.0
sm,-0.48411290234116183,1.4928056456737888,-1.059454326657827,-0.6099608893409831,-0.3662181043080401,1.5695278022126327,1.1232404769652515,0.0,0.0,0.0
sj,-0.8484886797744219,0.20450436189108664,0.010988165593660934,1.3920335799144907,0.14132014037438373,-1.3060029994100608,-1.560874348273357,0.0,0.0,0.0
sb,-0.3174520871285156,0.6980630609729813,0.32702348647225443,-1.1857534229678939,0.4033248109112634,0.29035392253110165,-0.490352101393982,0.0,0.0,0.0
