,Varianta,Varianta cumulata,Procent varianta,Procent cumulat
F1,7.385678974813103,7.385678974813103,75.83874810814659,75.83874810814659
F2,1.5957605830725519,8.981439557885654,16.385830647833004,92.22457875597959
F3,0.5166903229943008,9.498129880879954,5.305557876142766,97.53013663212236
F4,0.13662370366713206,9.634753584547086,1.4029002185646566,98.93303685068702
F5,0.08699676418272789,9.721750348729815,0.8933133578615482,99.82635020854856
F6,0.010321359935684235,9.732071708665499,0.1059833522368444,99.93233356078541
F7,0.006589805473780189,9.73866151413928,0.06766643921459477,100.0
F8,0.0,9.73866151413928,0.0,100.0
F9,0.0,9.73866151413928,0.0,100.0
F10,0.0,9.73866151413928,0.0,100.0
