,Index KMO
NascutiVii,0.6144411503269576
NascutiViiRo,0.611954073127337
Decedati,0.641331743063355
DecedatiRo,0.6465877332922496
DecedatiSubUnAn,0.8314036230393725
NascutiMorti,0.9128180755596492
Casatorii,0.9336129826832162
Divorturi,0.9615544992967979
SporNatural,0.4202687645701902
SporNaturalRez,0.4050764519225559
Total,0.6659911344841616
